Simulation de data/galaxy_1000 avec dt = 0.001 et grille (20, 20, 1) sur 2 processus MPI
Contrôles :
  - Clic gauche + déplacement souris : rotation de la caméra
  - Molette de la souris : zoom
  - ESC ou fermeture de fenêtre : quitter
Update time: 2012.85 ms
Render time: 17 ms, Update time: 2013 msUpdate time: 3.41 ms
Render time: 19 ms, Update time: 4 msUpdate time: 2.77 ms
Render time: 20 ms, Update time: 3 msUpdate time: 2.73 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.65 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.63 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.58 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.59 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.62 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.62 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.59 ms
Render time: 5 ms, Update time: 3 msUpdate time: 3.06 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.64 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.60 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.60 ms
Render time: 11 ms, Update time: 3 msUpdate time: 2.62 ms
Render time: 8 ms, Update time: 3 msUpdate time: 3.03 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.64 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.56 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.60 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.57 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.55 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.60 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.61 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.62 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.62 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.58 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.61 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.58 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.57 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.56 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.59 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.60 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.58 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.60 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.66 ms
Render time: 6 ms, Update time: 3 msUpdate time: 3.35 ms
Render time: 5 ms, Update time: 4 msUpdate time: 2.70 ms
Render time: 5 ms, Update time: 2 msUpdate time: 2.63 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.59 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.62 ms
Render time: 6 ms, Update time: 2 msUpdate time: 3.98 ms
Render time: 9 ms, Update time: 4 msUpdate time: 2.69 ms
Render time: 2 ms, Update time: 3 msUpdate time: 2.63 ms
Render time: 5 ms, Update time: 2 msUpdate time: 2.59 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.65 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.65 ms
Render time: 6 ms, Update time: 2 msUpdate time: 2.63 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.61 ms
Render time: 5 ms, Update time: 3 msUpdate time: 3.07 ms
Render time: 6 ms, Update time: 3 msUpdate time: 2.64 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.56 ms
Render time: 5 ms, Update time: 3 msUpdate time: 2.56 ms
