Simulation de data/galaxy_1000 avec dt = 0.001 et grille (20, 20, 1) sur 8 processus MPI
Contrôles :
  - Clic gauche + déplacement souris : rotation de la caméra
  - Molette de la souris : zoom
  - ESC ou fermeture de fenêtre : quitter
Update time: 3423.27 ms
Render time: 15 ms, Update time: 3424 msUpdate time: 6.82 ms
Render time: 4 ms, Update time: 8 msUpdate time: 7.96 ms
Render time: 33 ms, Update time: 8 msUpdate time: 7.43 ms
Render time: 7 ms, Update time: 8 msUpdate time: 7.37 ms
Render time: 9 ms, Update time: 8 msUpdate time: 6.05 ms
Render time: 9 ms, Update time: 6 msUpdate time: 6.46 ms
Render time: 2 ms, Update time: 7 msUpdate time: 7.29 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.43 ms
Render time: 2 ms, Update time: 8 msUpdate time: 4.28 ms
Render time: 0 ms, Update time: 5 msUpdate time: 4.88 ms
Render time: 3 ms, Update time: 5 msUpdate time: 5.90 ms
Render time: 4 ms, Update time: 6 msUpdate time: 4.54 ms
Render time: 2 ms, Update time: 5 msUpdate time: 7.17 ms
Render time: 3 ms, Update time: 8 msUpdate time: 6.50 ms
Render time: 1 ms, Update time: 7 msUpdate time: 6.60 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.35 ms
Render time: 1 ms, Update time: 8 msUpdate time: 7.28 ms
Render time: 1 ms, Update time: 8 msUpdate time: 6.97 ms
Render time: 0 ms, Update time: 8 msUpdate time: 7.33 ms
Render time: 0 ms, Update time: 8 msUpdate time: 5.55 ms
Render time: 1 ms, Update time: 6 msUpdate time: 7.10 ms
Render time: 2 ms, Update time: 8 msUpdate time: 7.02 ms
Render time: 0 ms, Update time: 8 msUpdate time: 5.54 ms
Render time: 1 ms, Update time: 6 msUpdate time: 7.81 ms
Render time: 2 ms, Update time: 8 msUpdate time: 7.27 ms
Render time: 9 ms, Update time: 8 msUpdate time: 4.46 ms
Render time: 0 ms, Update time: 5 msUpdate time: 7.39 ms
Render time: 3 ms, Update time: 8 msUpdate time: 7.14 ms
Render time: 1 ms, Update time: 7 msUpdate time: 6.82 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.34 ms
Render time: 1 ms, Update time: 8 msUpdate time: 6.84 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.28 ms
Render time: 1 ms, Update time: 8 msUpdate time: 6.94 ms
Render time: 0 ms, Update time: 8 msUpdate time: 6.49 ms
Render time: 1 ms, Update time: 7 msUpdate time: 6.09 ms
Render time: 1 ms, Update time: 7 msUpdate time: 4.80 ms
Render time: 1 ms, Update time: 6 msUpdate time: 7.44 ms
Render time: 3 ms, Update time: 8 msUpdate time: 4.55 ms
Render time: 0 ms, Update time: 5 msUpdate time: 6.01 ms
Render time: 3 ms, Update time: 7 msUpdate time: 9.47 ms
Render time: 1 ms, Update time: 10 msUpdate time: 7.47 ms
Render time: 7 ms, Update time: 8 msUpdate time: 6.87 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.21 ms
Render time: 1 ms, Update time: 8 msUpdate time: 6.82 ms
Render time: 0 ms, Update time: 8 msUpdate time: 7.23 ms
Render time: 1 ms, Update time: 7 msUpdate time: 6.07 ms
Render time: 1 ms, Update time: 7 msUpdate time: 6.98 ms
Render time: 1 ms, Update time: 8 msUpdate time: 6.70 ms
Render time: 1 ms, Update time: 7 msUpdate time: 6.63 ms
Render time: 1 ms, Update time: 7 msUpdate time: 6.01 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.04 ms
Render time: 2 ms, Update time: 7 msUpdate time: 6.90 ms
Render time: 1 ms, Update time: 8 msUpdate time: 5.07 ms
Render time: 0 ms, Update time: 6 msUpdate time: 5.63 ms
Render time: 3 ms, Update time: 6 msUpdate time: 6.59 ms
Render time: 2 ms, Update time: 7 msUpdate time: 6.80 ms
Render time: 1 ms, Update time: 8 msUpdate time: 4.12 ms
Render time: 1 ms, Update time: 4 msUpdate time: 5.86 ms
Render time: 4 ms, Update time: 6 msUpdate time: 6.32 ms
Render time: 2 ms, Update time: 7 msUpdate time: 6.80 ms
Render time: 2 ms, Update time: 7 msUpdate time: 6.93 ms
Render time: 1 ms, Update time: 8 msUpdate time: 6.13 ms
Render time: 1 ms, Update time: 6 msUpdate time: 6.93 ms
Render time: 2 ms, Update time: 7 msUpdate time: 6.89 ms
Render time: 1 ms, Update time: 7 msUpdate time: 5.46 ms
Render time: 1 ms, Update time: 6 msUpdate time: 7.27 ms
Render time: 3 ms, Update time: 7 msUpdate time: 7.00 ms
Render time: 1 ms, Update time: 8 msUpdate time: 6.92 ms
Render time: 0 ms, Update time: 8 msUpdate time: 7.25 ms
Render time: 1 ms, Update time: 8 msUpdate time: 7.26 ms
Render time: 0 ms, Update time: 8 msUpdate time: 5.61 ms
Render time: 0 ms, Update time: 7 msUpdate time: 8.84 ms
Render time: 3 ms, Update time: 10 msUpdate time: 7.82 ms
Render time: 6 ms, Update time: 8 msUpdate time: 9.09 ms
Render time: 8 ms, Update time: 10 msUpdate time: 9.45 ms
Render time: 7 ms, Update time: 10 msUpdate time: 10.12 ms
Render time: 6 ms, Update time: 11 msUpdate time: 7.43 ms
Render time: 6 ms, Update time: 8 msUpdate time: 5.39 ms
Render time: 0 ms, Update time: 6 msUpdate time: 7.12 ms
Render time: 3 ms, Update time: 7 msUpdate time: 7.33 ms
Render time: 1 ms, Update time: 8 msUpdate time: 6.00 ms
Render time: 0 ms, Update time: 7 msUpdate time: 6.95 ms
Render time: 2 ms, Update time: 7 msUpdate time: 5.78 ms
Render time: 1 ms, Update time: 6 msUpdate time: 7.18 ms
Render time: 2 ms, Update time: 8 msUpdate time: 7.12 ms
Render time: 1 ms, Update time: 7 msUpdate time: 4.22 ms
Render time: 1 ms, Update time: 5 msUpdate time: 7.27 ms
Render time: 3 ms, Update time: 8 msUpdate time: 7.18 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.11 ms
Render time: 1 ms, Update time: 8 msUpdate time: 7.01 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.04 ms
Render time: 1 ms, Update time: 7 msUpdate time: 5.76 ms
Render time: 1 ms, Update time: 6 msUpdate time: 7.28 ms
Render time: 2 ms, Update time: 8 msUpdate time: 6.20 ms
Render time: 1 ms, Update time: 7 msUpdate time: 6.01 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.42 ms
Render time: 1 ms, Update time: 8 msUpdate time: 7.13 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.24 ms
Render time: 1 ms, Update time: 8 msUpdate time: 7.09 ms
Render time: 0 ms, Update time: 8 msUpdate time: 7.21 ms
Render time: 1 ms, Update time: 7 msUpdate time: 7.16 ms
